merchant,category,amt,gender,zip,city_pop,is_fraud,age,hour,is_weekend
"fraud_Christiansen, Goyette and Schamberger",gas_transport,53.6,F,66941,242,0,14055,0,weekday
fraud_Howe Ltd,misc_pos,54.02,F,12037,4015,0,19811,0,weekday
fraud_Ledner-Pfannerstill,gas_transport,102.13,F,84540,46,0,14141,0,weekday
fraud_Lockman Ltd,grocery_pos,212.75,F,67851,2691,0,11834,0,weekday
fraud_Koepp-Witting,grocery_pos,130.4,F,53153,2328,0,30684,0,weekday
fraud_Doyle Ltd,grocery_pos,91.16,M,78040,248858,0,20070,0,weekday
"fraud_Schaefer, Maggio and Daugherty",gas_transport,55.78,M,35747,5901,0,19526,0,weekday
fraud_Stracke-Lemke,grocery_pos,83.07,F,98238,85,0,15105,0,weekday
"fraud_Mosciski, Ziemann and Farrell",shopping_net,4.38,F,47863,205,0,24110,0,weekday
fraud_Cartwright-Harris,grocery_pos,130.89,F,38778,1686,0,14309,0,weekday
fraud_Pacocha-O'Reilly,grocery_pos,103.0,F,72047,969,0,26302,0,weekday
fraud_Pfeffer LLC,grocery_net,50.82,F,73564,551,0,20193,0,weekday
fraud_Huels-Hahn,gas_transport,60.77,M,49775,95,0,11657,0,weekday
fraud_Volkman PLC,food_dining,122.86,M,75210,1263321,0,30362,0,weekday
fraud_Kiehn-Emmerich,grocery_pos,212.45,F,32565,5719,0,11388,0,weekday
fraud_Kemmer-Buckridge,misc_pos,7.33,F,14120,45100,0,11764,0,weekday
fraud_Cummerata-Jones,gas_transport,70.53,M,97813,1302,0,17980,0,weekday
"fraud_Goldner, Kovacek and Abbott",grocery_pos,58.26,M,21619,5848,0,16399,0,weekday
fraud_Spinka-Welch,grocery_net,50.45,M,50073,1195,0,18930,0,weekday
fraud_Huel-Langworth,misc_net,177.57,F,84540,46,0,14141,0,weekday
fraud_Macejkovic-Lesch,shopping_pos,8.57,F,31563,1324,0,36341,0,weekday
fraud_Corwin-Collins,gas_transport,56.66,M,49613,680,0,21569,0,weekday
fraud_Morar Inc,grocery_net,75.34,F,20882,135332,0,32794,0,weekday
"fraud_Eichmann, Bogan and Rodriguez",gas_transport,62.54,M,4287,3224,0,10367,0,weekday
"fraud_Huel, Hammes and Witting",grocery_pos,92.84,F,59448,743,0,19608,0,weekday
"fraud_Ferry, Lynch and Kautzer",misc_net,2.76,F,95148,973849,0,25779,0,weekday
fraud_Heathcote LLC,shopping_net,101.35,M,49826,137,0,12933,0,weekday
fraud_Huel-Langworth,misc_net,303.47,F,40820,581,0,21524,0,weekday
"fraud_Little, Gutmann and Lynch",shopping_net,83.52,M,68869,2202,0,18830,0,weekday
fraud_Torphy-Goyette,shopping_pos,9.97,M,67584,269,0,23070,0,weekday
fraud_Jaskolski-Dibbert,grocery_net,16.16,F,15484,328,0,15509,0,weekday
fraud_Hackett-Lueilwitz,grocery_pos,59.56,M,34112,276002,0,17174,0,weekday
fraud_Cummings LLC,gas_transport,57.23,M,72165,111,0,9341,0,weekday
"fraud_Swaniawski, Lowe and Robel",shopping_pos,317.14,M,86018,759,0,25124,0,weekday
"fraud_Osinski, Ledner and Leuschke",grocery_pos,127.88,F,47110,350,0,25937,0,weekday
"fraud_Reichert, Huels and Hoppe",shopping_net,113.4,M,82514,1645,0,18215,0,weekday
fraud_Ankunding LLC,shopping_net,94.53,M,22719,395,0,16073,0,weekday
fraud_Pfeffer and Sons,shopping_pos,1.82,M,39825,1461,0,32996,0,weekday
"fraud_Greenholt, Jacobi and Gleason",gas_transport,75.77,M,1545,35299,0,18517,0,weekday
fraud_Kunze Inc,grocery_pos,108.59,F,56117,399,0,17788,0,weekday
fraud_Harris Inc,gas_transport,48.68,F,16048,139,0,26162,0,weekday
"fraud_Connelly, Reichert and Fritsch",gas_transport,72.35,M,43985,128,0,29136,1,weekday
fraud_Howe Ltd,misc_pos,218.71,F,80120,320420,0,18425,1,weekday
fraud_Torp-Labadie,gas_transport,52.59,F,5461,4542,0,10158,1,weekday
fraud_Wolf Inc,grocery_pos,89.11,M,64659,964,0,18645,1,weekday
fraud_VonRueden Group,grocery_net,89.35,F,49628,372,0,11139,1,weekday
fraud_Vandervort-Funk,grocery_pos,50.68,M,84532,9772,0,13195,1,weekday
fraud_Bernhard Inc,gas_transport,64.47,F,16048,139,0,26162,1,weekday
"fraud_Morissette, Weber and Wiegand",grocery_net,63.58,F,44412,2644,0,15478,1,weekday
fraud_Brekke and Sons,gas_transport,81.85,F,29819,1523,0,15195,1,weekday
fraud_Mraz-Herzog,gas_transport,59.7,F,23860,31970,0,33020,1,weekday
fraud_Ledner-Pfannerstill,gas_transport,90.54,M,90250,93193,0,11223,1,weekday
fraud_Padberg-Welch,grocery_pos,50.57,M,20895,19054,0,18020,1,weekday
"fraud_Rippin, Kub and Mann",misc_net,3.79,F,7060,71485,0,18802,1,weekday
fraud_Kutch-Hegmann,grocery_net,54.54,M,89319,450,0,28993,1,weekday
fraud_Corwin-Gorczany,misc_net,3.35,F,51521,2036,0,19866,1,weekday
fraud_Huels-Nolan,gas_transport,50.61,M,52768,1426,0,25146,1,weekday
fraud_Jaskolski-Dibbert,grocery_net,50.74,F,75092,46563,0,20209,1,weekday
fraud_DuBuque LLC,grocery_pos,186.73,F,33470,26551,0,17902,1,weekday
fraud_Kutch-Hegmann,grocery_net,39.95,M,71762,2501,0,14457,1,weekday
fraud_Brekke and Sons,gas_transport,55.18,F,33470,26551,0,17902,1,weekday
"fraud_Mosciski, Gislason and Mertz",grocery_pos,92.99,M,15324,632,0,13425,1,weekday
fraud_Schmeler Inc,misc_pos,43.02,M,15056,1140,0,14448,1,weekday
"fraud_Schaefer, McGlynn and Bosco",gas_transport,51.33,F,82227,241,0,16460,1,weekday
fraud_Williamson LLC,misc_pos,47.85,F,11978,3255,0,17352,1,weekday
fraud_Pouros-Conroy,shopping_pos,9.23,F,10162,1577385,0,24848,1,weekday
fraud_Erdman-Kertzmann,gas_transport,80.36,F,56548,771,0,19567,1,weekday
fraud_Kuhn LLC,misc_net,6.36,F,7711,1533,0,33142,1,weekday
fraud_Fisher-Schowalter,shopping_net,226.33,M,93529,633,0,35917,1,weekday
fraud_Medhurst PLC,shopping_net,215.99,F,97476,217,0,35529,1,weekday
fraud_Kerluke Inc,misc_net,1.47,F,68950,331,0,27537,1,weekday
fraud_Stark-Batz,entertainment,5.83,F,36009,2566,0,24669,1,weekday
"fraud_Gottlieb, Considine and Schultz",shopping_net,51.04,F,1612,4845,0,36277,1,weekday
fraud_Bauch-Raynor,grocery_pos,122.05,F,68881,73,0,33206,1,weekday
"fraud_Adams, Kovacek and Kuhlman",grocery_net,106.19,M,22853,4367,0,23283,1,weekday
"fraud_Huel, Hammes and Witting",grocery_pos,129.09,F,15432,427,0,27367,1,weekday
fraud_Grimes LLC,entertainment,7.06,F,23860,31970,0,33020,1,weekday
fraud_Rodriguez Group,gas_transport,61.71,F,73027,1493,0,14904,1,weekday
fraud_Bernhard Inc,gas_transport,45.77,M,42701,48194,0,13035,1,weekday
fraud_Bernhard Inc,gas_transport,61.0,F,13342,165,0,29331,1,weekday
fraud_Wuckert-Walter,grocery_net,38.7,M,51632,7297,0,12964,1,weekday
fraud_Weber and Sons,food_dining,98.24,F,39653,2799,0,23729,1,weekday
"fraud_Herman, Treutel and Dickens",misc_net,3.66,F,61454,725,0,19400,1,weekday
fraud_Halvorson Group,misc_pos,34.11,M,70531,1261,0,19550,1,weekday
fraud_Rau and Sons,grocery_pos,134.66,F,13615,1271,0,24620,1,weekday
fraud_Kutch-Hegmann,grocery_net,55.6,M,50073,1195,0,18930,1,weekday
fraud_Koss and Sons,gas_transport,58.79,F,13615,1271,0,24620,1,weekday
fraud_Smitham-Schiller,grocery_net,57.43,F,11978,3255,0,17352,1,weekday
fraud_Hudson-Ratke,grocery_pos,83.81,F,23937,1970,0,14739,1,weekday
fraud_Hills-Olson,grocery_net,27.03,M,63021,92608,0,8933,1,weekday
fraud_Durgan-Auer,misc_net,23.8,F,95537,276,0,35312,1,weekday
"fraud_Swaniawski, Lowe and Robel",shopping_pos,3.74,F,33417,459921,0,23950,1,weekday
fraud_McDermott-Rice,misc_pos,9.07,M,12992,4778,0,26142,1,weekday
"fraud_Raynor, Reinger and Hagenes",gas_transport,64.72,F,24266,9521,0,17614,1,weekday
fraud_Pacocha-O'Reilly,grocery_pos,92.56,F,36749,1089,0,19792,1,weekday
fraud_DuBuque LLC,grocery_pos,113.19,F,13615,1271,0,24620,1,weekday
fraud_Powlowski-Weimann,food_dining,187.27,M,22015,43102,0,27437,1,weekday
"fraud_Langosh, Wintheiser and Hyatt",food_dining,68.24,M,50595,9165,0,22877,1,weekday
"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,636.41,M,66070,2661,0,28180,1,weekday
fraud_Rempel Inc,shopping_net,500.92,F,29817,4913,0,21610,1,weekday
fraud_Pacocha-Bauch,shopping_pos,2.1,M,96038,589,0,29239,1,weekday
fraud_Bins-Rice,gas_transport,69.54,M,24236,3085,0,12870,1,weekday
fraud_Emard Inc,gas_transport,84.23,F,67851,2691,0,11834,1,weekday
fraud_Kutch and Sons,grocery_pos,117.77,M,31561,298,0,22908,1,weekday
fraud_Fisher Inc,shopping_net,5.61,F,79548,932,0,25963,1,weekday
"fraud_Olson, Becker and Koch",gas_transport,71.74,M,12093,1666,0,21011,1,weekday
fraud_Friesen-D'Amore,gas_transport,75.76,M,35811,190178,0,19276,1,weekday
"fraud_Reilly, Heaney and Cole",gas_transport,83.1,F,44233,7646,0,13630,1,weekday
fraud_Boyer PLC,misc_pos,32.82,M,3601,477,0,13783,1,weekday
fraud_Cummings LLC,gas_transport,57.5,F,13316,6460,0,24211,1,weekday
"fraud_Adams, Kovacek and Kuhlman",grocery_net,53.87,F,42171,6841,0,9714,1,weekday
fraud_Luettgen PLC,gas_transport,47.1,M,20012,601723,0,20262,1,weekday
fraud_Boyer PLC,misc_pos,184.83,F,67851,2691,0,11834,1,weekday
fraud_Cassin-Harvey,grocery_net,56.35,F,19149,1526206,0,14983,1,weekday
fraud_Funk Group,grocery_net,55.81,M,62668,1512,0,8283,1,weekday
"fraud_Reilly, Heaney and Cole",gas_transport,67.91,F,95537,276,0,35312,1,weekday
fraud_Luettgen PLC,gas_transport,75.82,M,32935,139650,0,25188,1,weekday
fraud_Goodwin-Nitzsche,grocery_pos,123.14,M,70531,1261,0,19550,1,weekday
fraud_Pacocha-Bauch,shopping_pos,8.34,M,14522,9565,0,35824,1,weekday
"fraud_Parisian, Schiller and Altenwerth",misc_net,14.03,F,18433,6508,0,16272,1,weekday
fraud_Metz-Boehm,shopping_pos,1.46,M,14711,1766,0,23230,1,weekday
"fraud_Monahan, Bogisich and Ledner",misc_pos,10.26,F,11796,4056,0,12982,1,weekday
fraud_Koelpin and Sons,misc_net,3.67,F,39769,1923,0,24100,2,weekday
fraud_Kuhic LLC,shopping_net,8.95,M,51453,695,0,26111,2,weekday
fraud_Koepp-Parker,grocery_pos,51.6,M,22213,207410,0,15165,2,weekday
fraud_DuBuque LLC,grocery_pos,204.72,F,55128,753116,0,19880,2,weekday
"fraud_Stehr, Jewess and Schimmel",misc_net,4.47,F,30426,1100,0,27673,2,weekday
"fraud_Quitzon, Green and Bashirian",shopping_pos,4.08,M,7022,13835,0,21411,2,weekday
"fraud_Nicolas, Hills and McGlynn",entertainment,145.75,M,14425,10717,0,26751,2,weekday
fraud_Rodriguez Group,gas_transport,56.34,F,75662,24536,0,15428,2,weekday
fraud_Leannon-Ward,food_dining,31.8,M,31329,9034,0,20767,2,weekday
fraud_Friesen-Stamm,gas_transport,63.39,M,72354,2470,0,20914,2,weekday
fraud_Botsford Ltd,shopping_pos,8.29,F,75661,2807,0,34682,2,weekday
fraud_Bradtke PLC,grocery_pos,78.13,M,63353,4593,0,31105,2,weekday
"fraud_Zieme, Bode and Dooley",gas_transport,52.67,F,64114,545147,0,13932,2,weekday
fraud_Hills-Witting,shopping_net,2.11,M,83643,129,0,21940,2,weekday
fraud_Brown-Greenholt,entertainment,5.27,F,10970,9993,0,23096,2,weekday
"fraud_Bernhard, Grant and Langworth",shopping_pos,1.42,F,68881,73,0,33206,2,weekday
fraud_Lockman Ltd,grocery_pos,104.08,M,82936,49,0,16259,2,weekday
fraud_Metz-Boehm,shopping_pos,9.63,F,34953,181438,0,33534,2,weekday
fraud_Harber Inc,gas_transport,39.98,F,64019,2368,0,13325,2,weekday
fraud_Bauch-Raynor,grocery_pos,192.82,F,80951,525713,0,12298,2,weekday
"fraud_Wiza, Schaden and Stark",misc_pos,34.76,M,66020,1442,0,15940,2,weekday
fraud_Buckridge PLC,misc_pos,9.5,F,29170,52126,0,35203,2,weekday
fraud_Lockman Ltd,grocery_pos,182.1,F,41056,14228,0,20013,2,weekday
fraud_Kilback LLC,grocery_pos,78.43,F,51521,2036,0,19866,2,weekday
fraud_Spinka Inc,grocery_net,76.37,M,49440,128715,0,11187,2,weekday
"fraud_Kerluke, Kertzmann and Wiza",misc_net,6.37,M,90250,93193,0,11223,2,weekday
"fraud_Ferry, Reichel and DuBuque",grocery_net,28.37,M,29455,20478,0,10446,2,weekday
fraud_Price Inc,shopping_net,5.82,F,70003,137067,0,27065,2,weekday
"fraud_Johnston, Nikolaus and Maggio",grocery_net,41.01,F,96103,1725,0,21412,2,weekday
fraud_Harber Inc,gas_transport,70.56,F,23666,136895,0,31524,2,weekday
fraud_Berge LLC,gas_transport,57.64,F,72583,1679,0,14497,2,weekday
fraud_Conroy-Cruickshank,gas_transport,119.47,M,45879,6284,0,32795,2,weekday
fraud_Rau and Sons,grocery_pos,117.29,M,39665,1196,0,24684,2,weekday
fraud_Abshire PLC,entertainment,65.05,M,52217,590,0,26583,2,weekday
fraud_Huels-Hahn,gas_transport,61.99,M,89512,276896,0,10530,2,weekday
fraud_Torp-Labadie,gas_transport,49.53,M,83120,471,0,21345,2,weekday
fraud_Funk Group,grocery_net,54.47,M,1844,47249,0,16484,2,weekday
fraud_Gleason-Macejkovic,shopping_net,6.05,F,2630,1850,0,22657,2,weekday
fraud_Doyle Ltd,grocery_pos,157.07,M,63829,1120,0,25104,2,weekday
"fraud_Schaefer, Maggio and Daugherty",gas_transport,59.19,F,46346,1423,0,9956,2,weekday
fraud_McDermott-Rice,misc_pos,13.67,F,64114,545147,0,13932,2,weekday
fraud_Spinka Inc,grocery_net,57.57,F,85020,1312922,0,16148,2,weekday
fraud_McGlynn-Jaskolski,misc_pos,99.08,F,91321,34882,0,19983,2,weekday
fraud_Bartoletti-Wunsch,gas_transport,72.67,M,44857,23805,0,20410,2,weekday
fraud_Padberg-Welch,grocery_pos,103.77,M,24433,99,0,14532,2,weekday
fraud_Cole PLC,grocery_pos,123.35,M,61335,532,0,25568,2,weekday
"fraud_Lehner, Reichert and Mills",misc_pos,2.07,F,74130,413574,0,21024,2,weekday
fraud_Keeling-Crist,misc_pos,7.16,F,57426,63,0,20525,2,weekday
fraud_Ledner-Pfannerstill,gas_transport,74.6,M,78214,1595797,0,11042,2,weekday
fraud_McCullough LLC,misc_pos,39.92,M,59014,1446,0,17526,2,weekday
fraud_Schmitt Ltd,misc_net,29.19,F,94971,337,0,26121,2,weekday
"fraud_Schaefer, Maggio and Daugherty",gas_transport,56.76,M,41836,798,0,36357,2,weekday
fraud_Pouros-Haag,shopping_pos,7.6,M,48371,24840,0,24096,2,weekday
fraud_Strosin-Cruickshank,grocery_pos,128.24,M,59542,192,0,22651,2,weekday
"fraud_Weimann, Kuhic and Beahan",shopping_pos,19.73,F,61530,6713,0,29363,2,weekday
fraud_Rutherford-Mertz,grocery_pos,88.67,F,29661,5648,0,33333,2,weekday
fraud_Donnelly PLC,misc_net,185.04,F,63665,241,0,18702,2,weekday
"fraud_Kutch, Hermiston and Farrell",gas_transport,48.66,M,68463,1517,0,27091,2,weekday
fraud_Rodriguez Group,gas_transport,47.01,F,45896,2089,0,22847,2,weekday
"fraud_Lockman, West and Runte",grocery_pos,79.96,M,22015,43102,0,27437,2,weekday
fraud_Torp-Lemke,misc_pos,3.32,M,97210,841711,0,22926,2,weekday
fraud_Bins-Rice,gas_transport,67.0,M,41836,798,0,36357,2,weekday
fraud_Schmeler Inc,misc_pos,1.67,F,46143,78968,0,21153,2,weekday
fraud_Kris-Weimann,misc_net,150.61,M,7005,15269,0,11876,2,weekday
"fraud_Rodriguez, Yost and Jenkins",misc_net,4.73,M,37132,158701,0,17476,2,weekday
fraud_Deckow-O'Conner,grocery_pos,60.71,M,48088,134056,0,16672,2,weekday
fraud_Wiegand-Lowe,grocery_net,59.84,F,76665,2526,0,20147,2,weekday
fraud_Auer-Mosciski,grocery_pos,196.36,F,72529,4726,0,17748,2,weekday
"fraud_Okuneva, Schneider and Rau",shopping_pos,140.12,M,47515,965,0,16039,2,weekday
fraud_Kerluke Inc,misc_net,19.1,F,72513,2856,0,36295,2,weekday
fraud_Kassulke PLC,shopping_net,1055.47,M,80736,648,0,20564,2,weekday
fraud_Kerluke Inc,misc_net,193.9,F,53153,2328,0,30684,2,weekday
fraud_Wolf Inc,grocery_pos,140.33,M,57732,1979,0,20391,2,weekday
fraud_Dach-Nader,misc_net,16.65,F,98233,14871,0,18933,2,weekday
fraud_Hills-Witting,shopping_net,8.7,M,99783,145,0,31473,2,weekday
fraud_Cummings Group,grocery_net,55.25,F,18103,166081,0,9962,2,weekday
fraud_Bins-Rice,gas_transport,43.83,M,46723,7692,0,14272,2,weekday
"fraud_Reichert, Shanahan and Hayes",shopping_net,2.74,M,49705,937,0,24750,2,weekday
"fraud_Tromp, Kerluke and Glover",grocery_net,59.67,M,16314,5507,0,19158,3,weekday
"fraud_Bins, Balistreri and Beatty",shopping_pos,3.19,F,64470,1631,0,26652,3,weekday
"fraud_Ferry, Lynch and Kautzer",misc_net,7.25,M,10604,11250,0,17678,3,weekday
fraud_Hills-Olson,grocery_net,25.89,F,60958,2135,0,7916,3,weekday
fraud_Trantow PLC,grocery_net,90.24,F,60432,128354,0,12408,3,weekday
fraud_Miller-Hauck,grocery_pos,202.71,F,98233,14871,0,18933,3,weekday
fraud_Mayert Group,shopping_pos,378.58,F,27807,6629,0,23160,3,weekday
fraud_Spinka Inc,grocery_net,22.08,M,43321,267,0,7650,3,weekday
fraud_Kuvalis Ltd,gas_transport,75.73,M,14778,1453,0,18956,3,weekday
fraud_Friesen-D'Amore,gas_transport,77.59,F,60958,2135,0,7916,3,weekday
fraud_Dickinson Ltd,misc_pos,75.85,F,19154,1526206,0,19589,3,weekday
"fraud_Stanton, Jakubowski and Baumbach",shopping_net,8.65,F,15449,184,0,29286,3,weekday
"fraud_Rohan, White and Aufderhar",misc_net,8.68,M,96037,308,0,24583,3,weekday
fraud_DuBuque LLC,grocery_pos,176.57,F,95453,11256,0,19441,3,weekday
fraud_Bins-Rice,gas_transport,49.1,F,68881,73,0,33206,3,weekday
fraud_Grimes LLC,entertainment,1.25,F,72513,2856,0,36295,3,weekday
"fraud_Cormier, Stracke and Thiel",entertainment,3.14,M,96727,4878,0,21587,3,weekday
"fraud_Tillman, Fritsch and Schmitt",misc_net,1.53,F,15449,184,0,29286,3,weekday
fraud_Hudson-Ratke,grocery_pos,56.83,M,51632,7297,0,12964,3,weekday
fraud_Christiansen-Gusikowski,misc_pos,464.74,M,12575,2258,0,32440,3,weekday
"fraud_Gottlieb, Considine and Schultz",shopping_net,6.32,F,87543,247,0,23453,3,weekday
"fraud_Schultz, Simonis and Little",grocery_pos,78.08,F,77412,106,0,15510,3,weekday
fraud_Vandervort-Funk,grocery_pos,123.0,M,47434,76,0,25816,3,weekday
"fraud_Jenkins, Hauck and Friesen",gas_transport,44.68,F,95528,1139,0,27388,3,weekday
fraud_Koepp-Witting,grocery_pos,89.7,M,54499,3223,0,26126,3,weekday
fraud_Cummerata-Jones,gas_transport,69.3,M,63021,92608,0,8933,3,weekday
fraud_Reichel Inc,entertainment,51.64,F,29817,4913,0,21610,3,weekday
fraud_Prohaska-Murray,gas_transport,71.06,F,50312,222785,0,25553,3,weekday
"fraud_Parker, Nolan and Trantow",entertainment,143.18,M,4210,23045,0,24601,3,weekday
fraud_Volkman Ltd,misc_net,158.49,M,36853,8269,0,17902,3,weekday
"fraud_Streich, Hansen and Veum",gas_transport,61.08,F,47863,205,0,24110,3,weekday
fraud_Deckow-O'Conner,grocery_pos,145.21,M,41836,798,0,36357,3,weekday
fraud_Brekke and Sons,gas_transport,52.53,F,58579,1190,0,28317,3,weekday
"fraud_Raynor, Reinger and Hagenes",gas_transport,58.23,M,52576,568,0,20623,3,weekday
fraud_Kutch LLC,gas_transport,77.01,F,17058,1909,0,26073,3,weekday
fraud_Barton Inc,grocery_pos,122.89,M,43903,2208,0,23497,3,weekday
fraud_Goodwin-Nitzsche,grocery_pos,94.23,M,3601,477,0,13783,3,weekday
fraud_Corwin-Collins,gas_transport,67.36,M,57756,1126,0,16580,3,weekday
fraud_Dooley-Thompson,misc_net,8.93,M,76366,2317,0,22419,3,weekday
"fraud_Goldner, Kovacek and Abbott",grocery_pos,111.81,M,80436,565,0,17302,3,weekday
fraud_McDermott-Rice,misc_pos,1.27,F,13316,6460,0,24211,3,weekday
fraud_Koepp-Witting,grocery_pos,93.78,M,40914,467,0,15194,3,weekday
fraud_Flatley Group,misc_pos,3.43,F,15665,1472,0,30989,3,weekday
fraud_Turcotte-Halvorson,misc_pos,1.14,M,49613,680,0,21569,3,weekday
fraud_Lynch Ltd,shopping_pos,7.09,M,62360,1656,0,20612,3,weekday
"fraud_Christiansen, Goyette and Schamberger",gas_transport,47.65,F,52535,888,0,13804,3,weekday
"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,511.09,M,96038,589,0,29239,3,weekday
fraud_Gutmann Ltd,grocery_net,73.77,F,45622,321,0,17001,3,weekday
fraud_Sporer Inc,gas_transport,68.23,F,71854,36438,0,14879,3,weekday
fraud_Bauch-Raynor,grocery_pos,205.79,F,19149,1526206,0,14983,3,weekday
fraud_Kilback LLC,grocery_pos,68.96,F,68638,1749,0,19240,3,weekday
fraud_Cartwright-Harris,grocery_pos,62.03,M,22968,9815,0,18449,3,weekday
fraud_Runolfsson and Sons,grocery_net,30.69,F,76626,1563,0,17478,3,weekday
fraud_Block Group,misc_pos,1.1,F,11796,4056,0,12982,3,weekday
fraud_Bahringer-Larson,grocery_net,72.9,F,29661,5648,0,33333,3,weekday
fraud_Ledner-Pfannerstill,gas_transport,54.04,F,25049,630,0,24270,3,weekday
fraud_Heathcote LLC,shopping_net,909.66,F,40202,736284,0,26945,3,weekday
"fraud_Rowe, Batz and Goodwin",grocery_pos,103.31,F,19310,3066,0,35607,3,weekday
fraud_VonRueden Group,grocery_net,105.38,F,68859,509,0,16552,3,weekday
fraud_Schmitt Inc,gas_transport,66.73,F,16839,489,0,25318,3,weekday
fraud_Koepp-Witting,grocery_pos,92.62,F,17060,1334,0,14268,3,weekday
fraud_Maggio-Fahey,misc_pos,75.6,M,47032,3289,0,20502,3,weekday
"fraud_Haley, Jewess and Bechtelar",shopping_pos,2.49,F,64630,602,0,26112,3,weekday
"fraud_Stanton, Jakubowski and Baumbach",shopping_net,2.87,M,75236,1263321,0,26767,3,weekday
"fraud_Ruecker, Beer and Collier",shopping_net,87.91,M,61477,631,0,19322,3,weekday
"fraud_Robel, Cummerata and Prosacco",gas_transport,75.1,F,61530,6713,0,29363,3,weekday
fraud_Jast-McDermott,shopping_pos,2.9,F,41810,502,0,24084,3,weekday
fraud_Harber Inc,gas_transport,57.43,M,12575,2258,0,32440,3,weekday
fraud_Hudson-Ratke,grocery_pos,122.86,M,97033,60,0,30597,4,weekday
"fraud_Bernier, Volkman and Hoeger",misc_net,7.77,M,78040,248858,0,20070,4,weekday
fraud_Heaney-Marquardt,entertainment,23.89,F,20776,3289,0,33903,4,weekday
fraud_Kutch LLC,gas_transport,46.24,F,71232,6581,0,22611,4,weekday
fraud_Bernhard Inc,gas_transport,68.34,F,35901,67082,0,22980,4,weekday
fraud_Brekke and Sons,gas_transport,84.58,F,68950,331,0,27537,4,weekday
fraud_Hudson-Grady,shopping_pos,123.51,M,4616,824,0,18696,4,weekday
